#{"t_start": 1708701891.718752, "env_id": "CustomHopper-source-v0"}
r,l,t
285.987985,121,126.191158
535.353666,181,126.399964
390.478335,134,126.595105
400.952992,148,126.800687
371.059056,135,126.980441
502.295361,175,127.211944
611.515469,201,129.90881
643.807248,217,130.207129
210.300002,92,130.348014
600.540934,210,130.625246
541.801953,183,130.885807
379.016439,136,131.045228
520.038839,173,131.249103
566.626322,189,131.588095
370.661571,138,131.820333
415.969447,146,132.143778
415.609964,154,132.345995
530.118842,187,132.587618
607.157503,202,135.216067
378.365842,139,135.370742
588.099358,191,135.771739
620.527093,206,136.105171
467.77853,165,136.385119
397.343535,139,136.623127
560.130824,184,136.894327
648.631202,210,137.172321
391.248843,144,137.316079
532.546012,178,137.477814
690.44603,244,137.767274
673.05629,212,140.022251
661.09492,222,140.249824
543.490379,194,140.431341
701.393591,224,140.622812
646.897867,218,140.804917
394.777277,138,140.917457
206.064767,93,141.003875
661.214227,208,141.209837
847.171128,273,141.479166
644.223295,210,141.658451
388.319061,131,141.786198
386.899213,140,143.653258
520.749342,175,143.822457
328.880738,124,143.928393
573.236916,186,144.106113
370.708209,139,144.226877
450.114845,161,144.411388
604.209631,198,144.660807
531.769124,181,144.861243
304.714755,121,144.974959
567.53745,192,145.174283
409.437108,146,145.315669
544.278056,182,145.54808
406.138862,145,147.329389
509.82886,169,147.513072
672.039733,229,147.736627
550.75522,181,147.908881
527.282289,174,148.074324
542.217891,176,148.239555
390.156949,137,148.352055
527.710577,186,148.520447
535.540679,181,148.681326
207.911077,100,148.785983
818.241354,266,149.031274
392.644915,148,149.159579
570.956306,186,150.94148
114.376951,67,151.006465
264.607023,108,151.105913
861.672216,320,151.463958
557.508305,239,151.683714
712.780912,230,151.897574
916.628951,294,152.193473
549.147052,193,152.353624
680.592962,239,152.634992
624.988539,218,152.902866
404.180662,135,154.721326
640.784974,213,154.984904
951.956639,335,155.298892
575.899357,190,155.534019
477.045497,165,155.691497
655.237064,219,155.901884
604.250353,202,156.114949
608.656188,205,156.298664
687.942066,229,156.505781
670.090351,218,158.948431
253.602843,110,159.090463
239.242579,103,159.22702
645.534899,214,159.478607
537.77406,190,159.699329
565.800779,223,159.94816
371.695241,130,160.128745
525.51933,179,160.391231
273.645033,110,160.517389
698.065707,217,160.77488
229.784416,108,160.897658
600.713991,202,161.125246
767.445105,257,163.505812
677.23423,221,163.806397
610.153932,205,164.05028
756.225078,251,164.423474
854.234465,272,164.800873
787.260093,257,165.160266
661.969171,215,165.504457
658.028627,223,165.847254
576.027408,199,166.094645
651.643875,219,168.880276
809.100546,262,169.199547
651.687601,207,169.59008
896.259844,288,169.925337
640.186535,211,170.24519
584.398858,197,170.530603
671.860199,216,171.006288
874.971412,285,171.614636
616.860251,210,172.114452
908.149899,297,174.549776
646.941128,214,174.883437
739.831925,314,175.48252
600.822078,203,175.705508
944.709451,337,176.240505
926.87243,306,176.750366
521.215703,200,177.043828
585.400098,211,177.428879
1209.91947,405,180.257766
638.564824,223,180.569634
444.527026,172,180.800337
847.639584,269,181.204923
651.411144,226,181.476175
362.381797,152,181.660283
589.849868,203,181.930625
604.72374,201,182.261289
632.204124,217,182.574884
937.065326,302,185.825376
576.815508,199,186.36897
772.145856,249,186.742476
642.861521,223,187.13974
1257.774708,392,187.630589
200.540347,91,187.734607
929.454998,311,188.182103
639.845061,210,188.453559
675.510384,217,190.952069
605.819713,201,191.345541
937.519999,301,191.983896
548.658109,191,192.34657
499.156965,179,192.859012
613.982812,205,193.262897
913.920117,303,193.732306
1012.668162,346,194.389649
644.723622,207,194.689745
